result, oneway, oneway:bicycle, junction, cycleway, cycleway:left
both, , , , , 
with, yes, , , , 
both, no, , , , 
with, 1, , , , 
against, -1, , , , 
with, , yes, , , 
with, yes, yes, , , 
with, no, yes, , , 
with, 1, yes, , , 
with, -1, yes, , , 
both, , no, , , 
both, yes, no, , , 
both, no, no, , , 
both, 1, no, , , 
both, -1, no, , , 
with, , 1, , , 
with, yes, 1, , , 
with, no, 1, , , 
with, 1, 1, , , 
with, -1, 1, , , 
against, , -1, , , 
against, yes, -1, , , 
against, no, -1, , , 
against, 1, -1, , , 
against, -1, -1, , , 
with, , , roundabout, , 
with, yes, , roundabout, , 
with, no, , roundabout, , 
with, 1, , roundabout, , 
with, -1, , roundabout, , 
with, , yes, roundabout, , 
with, yes, yes, roundabout, , 
with, no, yes, roundabout, , 
with, 1, yes, roundabout, , 
with, -1, yes, roundabout, , 
both, , no, roundabout, , 
both, yes, no, roundabout, , 
both, no, no, roundabout, , 
both, 1, no, roundabout, , 
both, -1, no, roundabout, , 
with, , 1, roundabout, , 
with, yes, 1, roundabout, , 
with, no, 1, roundabout, , 
with, 1, 1, roundabout, , 
with, -1, 1, roundabout, , 
against, , -1, roundabout, , 
against, yes, -1, roundabout, , 
against, no, -1, roundabout, , 
against, 1, -1, roundabout, , 
against, -1, -1, roundabout, , 
against, , , , right, 
against, yes, , , right, 
against, no, , , right, 
against, 1, , , right, 
against, -1, , , right, 
with, , yes, , right, 
with, yes, yes, , right, 
with, no, yes, , right, 
with, 1, yes, , right, 
with, -1, yes, , right, 
both, , no, , right, 
both, yes, no, , right, 
both, no, no, , right, 
both, 1, no, , right, 
both, -1, no, , right, 
with, , 1, , right, 
with, yes, 1, , right, 
with, no, 1, , right, 
with, 1, 1, , right, 
with, -1, 1, , right, 
against, , -1, , right, 
against, yes, -1, , right, 
against, no, -1, , right, 
against, 1, -1, , right, 
against, -1, -1, , right, 
with, , , roundabout, right, 
with, yes, , roundabout, right, 
with, no, , roundabout, right, 
with, 1, , roundabout, right, 
with, -1, , roundabout, right, 
with, , yes, roundabout, right, 
with, yes, yes, roundabout, right, 
with, no, yes, roundabout, right, 
with, 1, yes, roundabout, right, 
with, -1, yes, roundabout, right, 
both, , no, roundabout, right, 
both, yes, no, roundabout, right, 
both, no, no, roundabout, right, 
both, 1, no, roundabout, right, 
both, -1, no, roundabout, right, 
with, , 1, roundabout, right, 
with, yes, 1, roundabout, right, 
with, no, 1, roundabout, right, 
with, 1, 1, roundabout, right, 
with, -1, 1, roundabout, right, 
against, , -1, roundabout, right, 
against, yes, -1, roundabout, right, 
against, no, -1, roundabout, right, 
against, 1, -1, roundabout, right, 
against, -1, -1, roundabout, right, 
both, , , , opposite_lane, 
both, yes, , , opposite_lane, 
both, no, , , opposite_lane, 
both, 1, , , opposite_lane, 
both, -1, , , opposite_lane, 
with, , yes, , opposite_lane, 
with, yes, yes, , opposite_lane, 
with, no, yes, , opposite_lane, 
with, 1, yes, , opposite_lane, 
with, -1, yes, , opposite_lane, 
both, , no, , opposite_lane, 
both, yes, no, , opposite_lane, 
both, no, no, , opposite_lane, 
both, 1, no, , opposite_lane, 
both, -1, no, , opposite_lane, 
with, , 1, , opposite_lane, 
with, yes, 1, , opposite_lane, 
with, no, 1, , opposite_lane, 
with, 1, 1, , opposite_lane, 
with, -1, 1, , opposite_lane, 
against, , -1, , opposite_lane, 
against, yes, -1, , opposite_lane, 
against, no, -1, , opposite_lane, 
against, 1, -1, , opposite_lane, 
against, -1, -1, , opposite_lane, 
with, , , roundabout, opposite_lane, 
with, yes, , roundabout, opposite_lane, 
with, no, , roundabout, opposite_lane, 
with, 1, , roundabout, opposite_lane, 
with, -1, , roundabout, opposite_lane, 
with, , yes, roundabout, opposite_lane, 
with, yes, yes, roundabout, opposite_lane, 
with, no, yes, roundabout, opposite_lane, 
with, 1, yes, roundabout, opposite_lane, 
with, -1, yes, roundabout, opposite_lane, 
both, , no, roundabout, opposite_lane, 
both, yes, no, roundabout, opposite_lane, 
both, no, no, roundabout, opposite_lane, 
both, 1, no, roundabout, opposite_lane, 
both, -1, no, roundabout, opposite_lane, 
with, , 1, roundabout, opposite_lane, 
with, yes, 1, roundabout, opposite_lane, 
with, no, 1, roundabout, opposite_lane, 
with, 1, 1, roundabout, opposite_lane, 
with, -1, 1, roundabout, opposite_lane, 
against, , -1, roundabout, opposite_lane, 
against, yes, -1, roundabout, opposite_lane, 
against, no, -1, roundabout, opposite_lane, 
against, 1, -1, roundabout, opposite_lane, 
against, -1, -1, roundabout, opposite_lane, 
both, , , , opposite, 
both, yes, , , opposite, 
both, no, , , opposite, 
both, 1, , , opposite, 
both, -1, , , opposite, 
with, , yes, , opposite, 
with, yes, yes, , opposite, 
with, no, yes, , opposite, 
with, 1, yes, , opposite, 
with, -1, yes, , opposite, 
both, , no, , opposite, 
both, yes, no, , opposite, 
both, no, no, , opposite, 
both, 1, no, , opposite, 
